"gene_name","EnsemblID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDK4","ENSG00000004799",1826.78411246541,-1.34017028754439,0.0694257725090872,-19.3036424242737,5.00534472685215e-83,6.98345696290412e-79
"ALDH3A1","ENSG00000108602",17673.2350206081,-0.558002427801483,0.0306642922386512,-18.1971402913432,5.43731972415628e-74,3.79307423957142e-70
"SERPINE1","ENSG00000106366",14504.4020586128,0.62436766560277,0.0348506478856313,17.9155253483879,8.92228180681203e-72,4.14945585895472e-68
"NFKB2","ENSG00000077150",3988.78426956994,0.788729662944983,0.0458968958925516,17.1848149554921,3.45046198698552e-66,1.20352114106055e-62
"CLDN2","ENSG00000165376",2405.77686455466,-1.04718309307348,0.062294397757131,-16.8102290218162,2.05376368221011e-63,5.73082217883908e-60
"CPLX2","ENSG00000145920",10678.713980659,-0.793874365552354,0.0508961404836685,-15.5979286053545,7.5194531965794e-55,1.7485235166446e-51
"MTUS1","ENSG00000129422",10416.9118267601,-0.469928094859167,0.0327989982897488,-14.3275136242817,1.47300477342595e-46,2.93590894269127e-43
"CAVIN1","ENSG00000177469",13292.4558946087,0.509126699719144,0.0392598928849249,12.9681122974902,1.85543666870062e-38,3.23588155021389e-35
"NTRK3","ENSG00000140538",3741.80235582586,-0.813353193270697,0.0636061224599109,-12.7873412466438,1.9296304043527e-37,2.9913559335032e-34
"ANKRD1","ENSG00000148677",1775.66203667286,0.767482347338451,0.062160051696272,12.3468743412335,5.06409518013727e-35,7.06542559532751e-32
"MYH9","ENSG00000100345",28328.747112259,0.436527155194026,0.0358860546606685,12.1642559852773,4.8181524202647e-34,6.11116932432119e-31
"MYOF","ENSG00000138119",18698.5557648061,0.376872982759189,0.0310685078963442,12.1303856630828,7.290527729646e-34,8.47645357366842e-31
"CCN1","ENSG00000142871",4283.99850954999,0.556327806482631,0.0467742995031051,11.8938778857757,1.273531936378e-32,1.36679365971892e-29
"CPS1","ENSG00000021826",2765.83015576063,-0.752779468536736,0.0649806494105332,-11.5846713654837,4.92853145946636e-31,4.91163363731962e-28
"CSRP1","ENSG00000159176",9588.09652393231,0.452609661321283,0.039767907540024,11.3812792605635,5.18337507670534e-30,4.82122993801286e-27
"PEG10","ENSG00000242265",10034.0559136262,-0.47038678860748,0.0415297666256753,-11.3264972771763,9.70069735116505e-30,8.45900809021592e-27
"ETS1","ENSG00000134954",2779.96445842305,0.550449729052363,0.0491096448549708,11.2085870439083,3.70053414937103e-29,3.03705014423674e-26
"ALDH1A1","ENSG00000165092",129603.685613927,-0.359283911626982,0.0325004305873201,-11.0547431259927,2.07931201073189e-28,1.61169784298507e-25
"EGFR","ENSG00000146648",10831.9168266439,0.376453083477471,0.0341358441499661,11.0280877140062,2.79750125960733e-28,2.05424934600218e-25
"ZYX","ENSG00000159840",4088.07474743404,0.507946173311514,0.0468874826950232,10.8333001499658,2.39369668006451e-27,1.66984280401301e-24
"SPAG9","ENSG00000008294",7904.3124842841,0.38684727324854,0.0361901602860621,10.6892942775256,1.14236890454189e-26,7.58968140769929e-24
"PLOD2","ENSG00000152952",12074.1844087334,0.375075400396706,0.0354634183426998,10.5764028941648,3.83396065267411e-26,2.43142813755042e-23
"BIRC3","ENSG00000023445",2980.18762505395,0.600312831701247,0.0569394121613091,10.543010700577,5.47185704370724e-26,3.31927606407841e-23
